Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount,Discount grouped,Profit,Profit Margin,Average Order Value (AOV),Total Profit by Quantity Sold,Discount Effectiveness (Impact on Profit),Total Revenue from Profit Margin,Revenue per Discount Level,Quantity per Discount Level,Profit by Discount ,Quantity per Discount 
7981,CA-2014-103800,1/3/2014,1/7/2014,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book"," $16,448.000 ",2,0.2,10-20%,5.5512,0.03,8224,2.7756,32.896,555.12,82240,,27.756,10
740,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508, $11.784 ,3,0.2,10-20%,4.2717,36.25,3.928,1.4239,0.023568,427.17,58.92,,21.3585,15
741,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving, $272.736 ,3,0.2,10-20%,-64.7748,-23.75,90.912,-21.5916,0.545472,-6477.48,1363.68,,-323.874,15
742,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs, $3.540 ,2,0.8,70-80%,-5.487,-155.00,1.77,-2.7435,0.02832,-548.7,4.425,,-6.85875,2.5
1760,CA-2014-141817,1/5/2014,1/12/2014,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack", $19.536 ,3,0.2,10-20%,4.884,25.00,6.512,1.628,0.039072,488.4,97.68,,24.42,15
5328,CA-2014-130813,1/6/2014,1/8/2014,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225, $19.440 ,3,0,0-10%,9.3312,48.00,6.48,3.1104,0,933.12,0,,0,0
7181,CA-2014-106054,1/6/2014,1/7/2014,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush", $12.780 ,3,0,0-10%,5.2398,41.00,4.26,1.7466,0,523.98,0,,0,0
7475,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair," $2,573.820 ",9,0,0-10%,746.4078,29.00,285.98,82.9342,0,74640.78,0,,0,0
7476,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System, $609.980 ,2,0,0-10%,274.491,45.00,304.99,137.2455,0,27449.1,0,,0,0
7477,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener, $5.480 ,2,0,0-10%,1.4796,27.00,2.74,0.7398,0,147.96,0,,0,0
7478,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4, $391.980 ,2,0,0-10%,113.6742,29.00,195.99,56.8371,0,11367.42,0,,0,0
7479,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster, $755.960 ,4,0,0-10%,204.1092,27.00,188.99,51.0273,0,20410.92,0,,0,0
7480,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes", $31.120 ,4,0,0-10%,0.3112,1.00,7.78,0.0778,0,31.12,0,,0,0
7481,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes, $6.540 ,1,0,0-10%,3.0084,46.00,6.54,3.0084,0,300.84,0,,0,0
